ID,Sent1,Sent2,Score
629,Woman remanded over child's death A woman has been remanded in custody charged with murder after an eight-year-old girl was found dead in a block of flats.,Mother held over daughter's death A mother has been remanded in custody charged with murder after her eight-year-old daughter was found dead in a block of flats.,4.4
630,North Korea says to restart nuclear reactor,North Korea Offers Talks: Complex May Re-Open,3.6
632,Egyptian court considers Mubarak‚Äôs release,Egypt court orders Mubarak release,4.0
633,"Suicide bomber kills eight, wounds 13 in Afghan capital - police",Suicide bomb kills 4 in Syrian capital's Old City,0.8
637,Boston bombing suspect charged in hospital bed,One week later: Boston honors bombing victims; suspect unable to speak,1.2
638,More rain hampers Indian flood rescue,US tourist gang-raped in northern India: Police,0.4
640,A look at major terror attacks in East Africa,UN Security Council slams deadly terrorist attack in Kenyan capital,1.6
642,Russia responds to Ukraine ceasefire,Cyprus probes Ukraine assets,0.8
644,Red-shirt leader calls not to oppose army,Oil rig spat: Beijing not to send army,0.6
645,Kim Jong-un Executed His 'Worse Than a Dog' Uncle,NKorea executes Kim Jong Un' uncle,3.5
646,Colourful support at World Cup in Brazil,Merkel to attend World Cup final,1.2
647,Russia praises idea to render rights assistance to Ukraine,Russia detains suspected Islamist militants in Moscow raid,0.4
648,Fatah endorses refusal to recognise Israel,Pakistan Denounces Latest Drone Attack,0.2
649,Attack kills 12 in Afghanistan,NATO: 3 troops killed in Afghanistan attack,2.4
651,Mandela remains in hospital,Mandela remains in 'intensive care',3.6
652,South Korea Ferry Crew Members Stand Trial,Sewol ferry crew faces trial,4.4
653,Georgian PM's ally to become president - exit poll,Ally of Georgia's billionaire PM to be president -exit polls,4.6
654,Egypt votes on new constitution,Egyptians Voting on New Constitution,5.0
656,US drone strike kills six in Pakistan officials,U.S. drone kills 4 militants in Pakistan,2.8
657,Vietnam detects signals from missing plane,China expands search area for missing plane,2.0
661,Cricket-England v Australia fourth test scoreboard,"Cricket-England 155-4 v Australia, fourth test - tea",4.0
662,Birthday of DPRK to Be Celebrated in Peru,Curiosity Rover Celebrates 1 Year on Mars,0.4
663,Powerful 7.6 quake strikes off Solomons,Powerful 6.9 quake strikes off California coast,2.2
664,India Ink: Image of the Day: May 21,India Ink: Image of the Day: January 16,1.8
668,Australia leader ousted in snap leadership vote,Australian PM Gillard ousted in leadership vote,4.0
669,"Obama condemns Egypt violence, cancels military exercises",Pakistan condemns violence in Egypt,0.8
675,Argentina declares mourning for flood victims,Parents demands common forms for nursery admissions,0.0
676,Food poisoning kills at least 20 children in India,Baghdad cafe bombing kills at least 38,0.0
677,Prince's christening a blend of old and new,"When is Prince George's christening? Baptism plan, royal baby's godparents and all the details",2.2
678,"What the Papers Say, May 20, 2013","What the Papers Say, Nov. 19, 2013",2.33
682,Google releases Nexus 5 phone with Kit Kat,Google redesigns search results on PCs,1.0
684,Bombing Aimed at Hezbollah Hits Southern Beirut,Explosion Hits Hezbollah Area South of Beirut,4.2
689,"U.S., allies to add sanctions against Russia over Ukraine",EU Slaps New Sanctions on Russia Over Ukraine,3.0
690,Car bombs kill at least 16 in Iraqi capital,Car bombs kill at least 47 in Baghdad area,2.6
692,Factories that ran on Korean cooperation go silent,North and South Korea break their silence with talks,1.0
694,Chinese premier meets Indian vice president,Hezbollah urges to elect new Lebanese president,0.0
695,Saudi Arabia gets a seat at the UN Security Council,Saudi Arabia rejects seat on UN Security Council,2.8
697,Algerian president in France for medical tests,Algerian president in France for medical tests after minor stroke,3.6
699,Islamists still holding some 30 hostages as Kenya mall standoff continues,Death toll rises as Kenya mall siege continues,3.2
700,Manchester City wins second Premier League title in three years,Manchester City win English Premier League title,3.8
701,US drone strike kills 11 in Pakistan,US drone kills 16 in Pakistan,3.2
702,Bodies of MH17 crash victims flown to Netherlands,MH17 dead flown back to Netherlands,4.8
703,Egypt policeman killed in Sinai attack,Egyptian soldiers killed in Sinai attack,3.4
704,Extension likely for Iran nuclear talks,Oil slips below $108 ahead of Iran nuclear talks,1.4
705,Fire kills 38 in Russian psychiatric institution,38 feared dead in Russian psychiatric hospital fire,3.6
708,Russia Warns It May Not Sign Landmark UN Arms Treaty,UN closes in on landmark arms treaty,1.6
709,Didier Reynders on Syria,Obama's day: Prime time on Syria,1.6
711,North Korea: experts call for dialogue ‚Äď and say China must play a part,North Korea cuts last ties with South by barring joint industrial park,0.8
712,China stocks open higher Monday,China stocks close lower on Thursday,1.0
714,Sony Xperia Z2 and Nokia‚Äôs X series unveiled,Court orders political ban on Italy‚Äôs Berlusconi,0.0
718,New coronavirus can probably can be passed person to person- WHO,WHO: New virus can probably pass person to person,3.8
720,Mandela back in hospital in ‚Äėserious but stable‚Äô condition,Nelson Mandela returns to hospital in ‚Äėserious but stable‚Äô condition,5.0
722,East Harlem explosion death toll rises,Mexico storm death toll continues to rise,0.0
724,Ukrainian Prime Minister resigns amid protests,British Prime Minister condemns murder of teens,0.0
725,Royal Hoax DJ Takes Action Against Station,Taliban bombs US base in Afghanistan,0.0
727,Arsenal v Stoke City ‚Äď live!,Tottenham v Manchester City ‚Äď live! ,2.2
729,"Business news and markets: as it happened, April 17, 2013","Business news and markets: as it happened, June 20, 2013",2.4
730,Zoo worker dies after tiger attack,Indian-origin teacher dies after attack in New Zealand,0.4
736,"Iran, world powers begin new round of nuclear talks","Iran, world powers pledge new nuclear talks",4.2
743,Tropical Storm Karen targets US Gulf Coast,Tropical Storm Karen weakens as it nears U.S. Gulf Coast,2.6
746,Workers killed in India building collapse,76 killed in Bangladesh building collapse,3.0
747,Six killed in drone strike in N Waziristan,12 killed in bus accident in Pakistan,1.8
749,20 killed in bomb attack at Pakistani base,8 soldiers killed in bomb attack in NW Pakistan,2.0
750,North Korea fires three short-range missiles,N. Korea fires short-range missiles,3.8
752,17 govt employees killed in Pakistan bus bombing,At least 78 killed in Pakistan church bombing,0.8
753,Car Bomb Kills 37 in Northwest Pakistan,Bomb kills three in northwest Pakistan,2.6
754,Malaysia Airlines loses contact with plane carrying 239 to Beijing,Malaysia Airlines plane vanishes on flight to Beijing,4.0
755,"Microsoft says to cut up to 18,000 jobs","Microsoft to cut 18,000 jobs in overhaul",5.0
757,Malaysians vote in polls for stability or change,Malaysia elections: Malaysians vote with power at stake for first time,3.4
760,Fire destroys ancient Tibetan town in China,Fire destroys Tibetan town in China,4.4
761,Yahoo agrees to buy Tumblr for $1.1 billion cash,Yahoo to Buy Tumblr for $1.1 Billion,5.0
762,India starts voting in world's largest election,India voters kick off world‚Äôs biggest election,5.0
763,Car bomb in northern Syria kills at least 12,Syrian airstrikes kill at least 18 in Aleppo,2.0
764,Philippine quake death toll climbs to 73,Death toll in Philippines quake jumps to 85,2.8
766,Shenzhen stock indices close higher Monday,Shenzhen stock indices close lower -- Oct. 31,1.8
771,Search ends for missing asylum-seekers,Search narrowed for missing man,1.4
773,Ukrainian President orders 7-day ceasefire in the east,Uganda's President Museveni agrees to sign anti-gays Bill,0.2
774,At least 12 dead in Washington ...,At least 150 dead as strong quake hits southwest Balochistan,0.4
775,ICC Champions Trophy: India vs South Africa,Champions Trophy: India v South AfricaLive,4.33
777,Supreme Court takes on affirmative action in Michigan ban case,Supreme Court to hear Michigan affirmative action case,4.4
778,Headlines in major Iranian newspapers on Sept 30,Headlines in major Iranian newspapers on Nov 21,3.0
780,Cyclone leaves trail of destruction in India,Cyclone Phailin evacuation kept Indian villagers alive,2.4
781,Taliban kill 15 police in west Afghanistan,US drone kills two in eastern Afghanistan,0.6
782,Thousands rally to support embattled Tunisia government,Thousands gather to support Islamist government in Tunisia,4.6
783,Prince Harry pays tribute to US war dead,US presidents pay tribute to Mandela,0.4
785,South Africa's Mandela taken to hospital,Nelson Mandela taken to hospital,4.8
786,Updated - Two explosions near finish line of Boston Marathon,Two explosions at Boston Marathon finish line,5.0
788,At least two killed in southern Egypt clash,At least 18 killed in North Caucasus train station blast,0.4
791,Winter Storm Ion: State-By-State...,Winter Storm Janus: State-by-State...,3.0
795,Corpses Of 53 Men Found South Of Baghdad,Iraqi officials: 50 bodies found south of Baghdad,3.6
799,Bomb attacks kill 20 in Baghdad's Christian areas,Bombs Kill 35 in Baghdad Christian Area,3.0
800,China sets Bo Xilai trial date,China Bo Xilai trial in fourth day,3.2
802,Muslims prepare for start of Ramadan,Muslims pray for end to divisions,0.8
804,Japan scrambles jets against Russian military planes,"Separatists down Ukraine military plane, several dead",0.8
805,Thousands of Britons claim dole in Germany,Thousands of white-clad Amsterdammers march for MH17,1.0
808,Suspected U.S. drone strike kills 5 in Pakistan,Suspected US drone targets Islamic seminary in Pakistan,2.2
809,Obama to sign up for Obamacare,Obama visits tornado hit Oklahoma,0.4
810,"15 dead in Iraq attacks, bomb at football pitch",46 dead in Iraq attack blitz,1.4
813,General Electric posts 9% profit drop for third quarter,GE posts 9% profit drop for third quarter,5.0
816,China yuan weakens to 6.1535 against USD,China yuan strengthens to new high against USD,2.0
820,Israel 'bombs' Syria as envoy presses peace talks bid,Fierce clashes in east Syria as US pushes peace talks,2.2
821,Russia finds dead lawyer Magnitsky guilty in posthumous trial,Russia convicts dead lawyer Magnitsky in posthumous trial,5.0
823,'Trayvon could have been me',Trayvon Martin could have been ...,2.8
824,Myanmar arrests 44 over sectarian violence,Ban Warns Syria Strikes Could Worsen Sectarian Violence,1.2
826,China sends largest fleet yet to disputed islands,China ships enter waters off disputed islands,3.4
828,"US, Russia enter third day of Syria talks",US and Russia agree Syria arms deal in Geneva,1.8
830,Kerry's plan for restarting talks calls for release of 103 Palestinian inmates,"Kerry plan to include prisoner release, settlement freeze",3.4
831,Police: Explosion in Belfast Cathedral Quarter,Explosion in Kabul a suicide attack in diplomatic area,2.0
835,"Syrians Protest against Erdogan in Paris, Venezuelans Stress Support to Syria",Turkey's Erdogan in Iran to mend ties after split over Syria,1.4
837,"Prime Minister to seek nuclear deal, investments during Japan visit",Manmohan hopes to clinch nuclear deal with Japan,3.0
838,US postpones missile test over N Korea tensions,Embassies staying put in N. Korea despite tension,1.2
839,Obama to meet privately with family of Nelson Mandela,Obama to meet with Mandela family,4.6
840,At least six dead in US shooting rampage,At least 20 dead in Somalia attacks,0.4
844,Gunmen kill 10 in Philippine political violence,Five killed in Philippines volcano eruption,0.6
846,Israel downs drone from Lebanon,Israel shoots down drone from Lebanon,5.0
849,Iran official: US visa denial to Iranian envoy will not affect nuke talks,Iranian negotiator upbeat about latest nuclear talks,2.6
851,Israel approves release of first group of Palestinian prisoners ahead of peace talks,Syrian opposition confirms participation in peace talks,1.0
852,Deadly clashes as Egypt marks anniversary,Violent clashes mark anniversary of Egypt uprising,4.6
854,Australia cuts rates to record low,Australia cuts interest rates to record low,4.6
855,NATO: 5 Americans killed in southern Afghanistan,Roadside bomb kills 3 policemen in southern Afghanistan,1.6
858,Conmen dressed as women steal cash,CCTV: York conmen dress as women to trick pensioners,3.8
860,Cleveland Kidnapper Ariel Castro Found Hanged in Prison Cell,Cleveland kidnapper Ariel Castro found hanging in his cell,5.0
862,Syria opposition unity take face specter of collapse,Syria divided opposition struggles within wider Syrian struggle,2.2
863,Google Unveils Prototype Self-Driving Car,Google Unveils Concept Self-Driving Car,5.0
864,Bangladesh garment factory fire 'kills 8',Bangladesh garment factory collapse kills 149,2.0
867,US seeks to reassure wary Gulf allies over Iran deal,Hagel seeks to reassure jittery Gulf allies after Iran deal,4.0
869,Ukraine hosts ‚Äėunity talks‚Äô,Pope hits out at ‚Äėwar to sell arms‚Äô in Syria,0.0
871,"Gov'ts, groups pledge millions for typhoon relief",Canada promises $5-million in typhoon relief,2.4
877,Greece suspends state broadcaster,Greece to close state broadcaster to save money,4.2
878,Pakistan's Musharraf Under Arrest in Bhutto Assassination,Pakistan's Musharraf arrives at court for first time,2.4
880,Trial Date Set for Egypt's Muslim Brotherhood Chief,Syria's Muslim Brotherhood faces uphill battle,2.2
882,Guatemalan court finds former dictator guilty of genocide,Guatemala's former leader found guilty of genocide,5.0
883,Red panda‚Äôs short-lived zoo escape,India‚Äôs march to Mars,0.0
884,Israeli doctors could be tried abroad for force-feeding Palestinian prisoners,Israel's West Bank control 'costing Palestinian economy billions',0.2
889,Washington Pot Shops Prepare for Historic Sales,Washington pot shops prepare for historic sales,5.0
891,Rio airport workers strike on eve of FIFA World Cup,Rio de Janeiro airport workers strike on eve of World Cup,5.0
892,International forensic teams join Kenyan mall carnage probe,Arrested Briton 'not significant' to Kenya attack probe,1.0
893,Son of top Muslim Brotherhood leader killed,Egypt arrests Muslim Brotherhood leader Badie,1.4
896,"Iran, six global powers sign landmark nuclear deal","Iran, six world powers clinch breakthrough nuclear deal",5.0
898,Hot-Air Balloon Catches Fire in Virginia,Hot Air Balloon 'Catches Fire And Crashes',2.8
900,"Quotes from leaders, family at Mandela memorial",World unites for Mandela memorial,2.4
901,Mumbai Indians puts T&T in its place,Indonesians vote for president in tight race,0.0
903,KL shares remain higher mid-afternoon,KL shares continue uptrend mid-afternoon,4.4
905,"What the Papers Say, Nov. 20, 2013","What the Papers Say, Oct. 10, 2013",2.8
908,Amazon launches new device for streaming video,Amazon unveils new Fire TV streaming video box,4.2
909,Palestinian President Receives Jordanian Foreign Minister,Palestinian arrested for sexually harassing young girls,0.0
913,Obama nominates new transportation secretary,Obama To Meet Embattled Veterans Secretary,0.2
914,China yuan weakens to 6.1059 against USD,China yuan strengthens to 6.1070 against USD Friday,1.6
917,French raid wine cellar for austerity auction,US praises Ukraine deal; calls for concrete action,0.2
918,Obama signs law aimed at barring Iran UN envoy,Obama urges no new sanctions on Iran,1.0
919,"US, Russia agree on seizure of Syria chemical weapons",Syrian rebels skeptical of chemical weapons deal,1.4
920,Beaten Florida teen released in Israel,Palestinian teen dies of wounds sustained in Israeli shooting,0.4
923,S Korea MPs to visit Kaesong complex,S. Korea demands talks with N. Korea on closed factory,1.4
925,Algerian priest to lecture about Christian heritage in N. Africa,Telstra applies to list China site in NY,0.0
926,Headlines in major Iranian newspapers on April 5,Headlines in major Iranian newspapers on August 18,3.0
927,Implications of Palestinian reconciliation,Belgian king to address nation amid abdication speculation,0.6
928,Fire in Russian psychiatric hospital kills 38,38 feared dead in Russian psychiatric hospital fire,4.2
929,Hijacker arrested after plane lands at Geneva Airport,Hijacked aircraft lands in Geneva,3.0
930,PCB appoints Waqar Younis as head coach,Waqar Younis back as Pakistan coach,5.0
931,US makes case for action against Syria,Saudi Urges U.N. Action against Israel Strikes on Syria,2.4
934,Ankara protesters clash with police,Peru protesters clash with police,1.8
936,DPRK leader calls for better ties with S.Korea,North Korea urges foreigners to leave South Korea,0.4
937,"49 killed, 148 wounded in violent attacks in Iraq","15 killed, 90 wounded in fresh attacks in Iraq",2.2
939,"Iran, sextet to resume expert talks",Iran upbeat on 'useful' expert-level nuke talks,1.6
940,Puerto Rican arrested for production of child pornography,Indian guru arrested on suspicion of rape,0.4
941,Ukraine signs EU trade pact as Russia finalizes Crimea annexation,"Ukraine's top court dismisses Crimea's independence as ""unconstitutional""",2.0
943,"Bangladesh collapse search over; death toll 1,127",Bangladesh collapse deaths top 620,3.2
945,"Chinese, Russian FMs exchange opinions on Ukraine crisis",Chinese president arrives in Argentina for state visit,0.2
948,Assad warns Turkey of 'heavy price' for backing Syrian rebels,Cabinet at war over arming Syrian rebels,1.0
950,Indian stocks close lower,Hong Kong stocks close 2.33% higher,1.8
952,"19 killed, 42 wounded in violent attacks in Iraq","43 killed, 86 wounded in attacks in Iraq",2.8
953,Indian rape accused face verdicts,Indian rape accused found guilty,3.8
955,Poll: Cory Booker takes early lead for N.J. Senate,Nigella Lawson 'took cocaine every day for a decade',0.0
957,Iran nuclear deal agreed at talks,Iran Nuclear Deal Sealed After Decades-Long Dispute,3.6
958,Egyptian military spokesman denounces incitement against army,Labor ministry announcement due on Monday,0.0
959,Snowden sees 'no chance' for US fair trial,"Snowden sees ""no chance"" to get fair trial in U.S.",5.0
960,Headlines in major Iranian newspapers on Dec 30,Headlines in major Iranian newspapers on July 6,2.2
961,Dozens injured in Connecticut train collision,Indian minister killed in head-on collision,0.2
963,Blast on Indian train kills one,State: No funds for yeshiva that incites violence,0.0
965,Queen visits Britain's new prince,Queen meets Britain's new baby prince,5.0
970,Ukraine: Three Killed In Parliament Protests,Ukraine President Calls Talks To End Protests,1.0
972,Ride operator charged in N.C. fair accident,N.C. State Fair ride operator arrested after accident,4.4
977,Transcript reveals confusion over evacuation of South Korean ferry,Transcript Reveals Confusion Over Ferry Evacuation,3.6
978,Fallen US firefighters brought home,Wall Street ends slightly lower,0.2
980,Syria Regime Agrees to Attend Peace Conference,Russia: Syria Agrees to Participate in Conference,4.8
982,UK vote rejects military action,Britain rejects Syria military action,3.4
983,New Zealand set to legalise gay marriage,New Zealand votes to legalise same-sex marriage,4.4
985,Singapore stocks end up 0.37 pct,Singapore stocks close 0.41 pct higher,3.0
987,Venezuelan president to visit China,Senegalese president to visit China,1.8
989,Cairo protesters defy crackdown threat,"In Cairo Camps, Protesters Dig in and Live On",3.6
990,Missing plane search turns to Vietnamese islands,Missing Malaysia Airlines plane 'crashes off Vietnam',3.0
992,Iran threatens to trigger oil price war,Man admits threatening to kill Prince Harry,0.0
993,Official of Malaysia Airlines briefs relatives of missing flight passengers about search progress,Malaysia Airlines investigating co-pilot on missing flight,1.0
994,Stars pay tribute to Cory Monteith,Stars pay tribute to James Garner,2.2
996,Manchester United Ticket Sales And Profit Down,Manchester United owner Malcolm Glazer dies at 85,0.6
997,Los Angeles airport worker charged with making 9/11 threats,Los Angeles airport worker charged over 9/11 threats,5.0
1000,"The Note's Must-Reads for Friday May 24, 2013","The Note's Must-Reads for Friday, August 23, 2013",2.2
1004,Cristiano Ronaldo hat-trick fires Portugal to 2014 World Cup finals,Ronaldo hat-trick fires Portugal to World Cup,4.8
1008,Neymar powers Brazil into last 16,Neymar powers Brazil into World Cup last 16,4.4
1009,Ukraine to implement unilateral ceasefire,Ukraine offers unilateral ceasefire,4.8
1010,Britain's Prince Philip set for 'exploratory' surgery,UK's Prince Philip hospitalized,3.0
1011,"Japan starts hearing on sales tax, ex-bank deputy urges gradual rise",Japan starts hearings on proposed tax hike,3.6
1013,"Three bomb attacks kill six soldiers, one civilian",School bomb attack kills two in southern Thailand,1.0
1015,Stones add second Hyde Park concert,Rolling Stones add second Hyde Park date,5.0
1016,Italian pilgrims die in bus plunge,Passengers dead in Italy bus plunge,3.8
1019,"What the Papers Say, Aug. 19, 2013","What the Papers Say, Dec. 30, 2013",2.67
1023,5 nations meet on haze,Putin's marriage at an end,0.0
1024,Strong new quake hits shattered Pak region,Powerful new earthquake hits shattered Pakistan region,5.0
1025,Syrian opposition offers Assad truce in Homs for duration of Ramadan,Syrian opposition offers Assad's forces truce for duration of Ramadan,4.6
1028,At least 20 dead in Somalia attacks,At least 60 die in Iraq prison attack,2.2
1029,Westgate mall attackers spent four months planning in Nairobi,"Westgate attackers spent four months planning in Nairobi, says official",4.6
1030,U.N. Security Council calls for humanitarian ceasefire in Gaza,U.N. Security Council Calls for Unconditional Cease-Fire in Gaza,4.8
1032,"6.3-magnitude quake hits Honshu, Japan: CENC",6.7-magnitude earthquake jolts Taiwan: CENC,2.0
1033,Chinese shares close higher Tuesday,Chinese shares close lower on Wednesday,2.2
1034,Car Bombs Kill 58 in Iraqi Capital,Car bombings kill 13 civilians in Iraqi capital,2.4
1035,Foreign companies eye new 'opening-up',More carriers likely in China,0.6
1036,Ukrainian protesters back in streets for anti-government rally,Ukraine protesters topple Lenin statue in Kiev,2.6
1038,"Canadian freight train blast death toll hits three, to rise",Canadian government 'monitoring' train blast situation,2.2
1041,U.S. fast-food workers plan nationwide strikes over minimum wage,Fast-food workers strike for higher pay,4.0
1043,Nigel Farage calls on Government to let Syrian refugees into UK,'No plans' to resettle Syrian refugees in the UK,2.4
1045,Israel's Peres urges return to peace talks,Gonsalves keeps up pressure on Dom Rep,0.2
1049,All eyes on new Pak army chief Raheel Sharif,Flood alerts in France as river levels rise,0.0
1050,China yuan strengthens to 6.1184 against USD Tuesday,China yuan weakens to 6.1510 against USD,1.8
1054,Radio: Israel set to increase Palestinian prisoner release,US: Israel to delay Palestinian prisoner release,1.6
1055,Morsi's supporters reject plan,Morsi supporters march in Egypt,2.4
1057,Egypt court sentences 10 Brotherhood supporters to death - sources,Turkish PM tells supporters to prepare for rallies,0.2
1058,Obama condemns killing of 3 Israeli teens,Bodies of missing Israeli teens found in West Bank,1.4
1062,"Men tried to behead soldier on London street, court hears",Australia spied on Indonesia president: reports,0.0
1066,Ukraine protesters rebuild barricades,"Putin speaks on Ukraine, protesters rebuild barricades",3.4
1068,Mel Smith dead at 60 and UK mourns a comedy favourite,Griff Rhys Jones: Mel Smith was 'a force for life',2.4
1069,"Three dead, 63 hurt as New York buildings collapse","Two dead, nine hurt in French building collapse",1.6
1070,Chinese shares close higher Tuesday,Chinese stocks close lower Thursday,1.6
1073,India Ink: Image of the Day: July 2,India Ink: Image of the Day: March 4,3.0
1079,Asian Muslims celebrate Eid as 14 killed in Afghanistan,"Asian Muslims celebrate Eid as 52 die in Pakistan, Afghanistan",3.6
1083,"Car bomb at Swedish consulate in Libya's Benghazi, no casualties","Car Bomb Hits Swedish Consulate in Benghazi, None Hurt",5.0
1088,Russian coal mines seek new outlets in China,Russian foreign minister to meet UN chief,0.4
1091,Ukraine‚Äôs pro-Russia protesters demand greater autonomy,Sudanese protesters demand the regime's ouster,1.4
1092,Iraq army fights to retake Tikrit,Iraq army claims victory in Tikrit,3.2
1093,Iran condemns alleged Israeli airstrike on Syria,Democrats Face Divide Over a Strike on Syria,1.2
1094,Israel agrees to extend Gaza truce by four hours,"Israel, Hamas reportedly agree to 12-hour truce",2.6
1097,Fire at South Korean bus terminal kills 5,S Korea bus station fire kills seven,3.2
1102,Bomber strikes near Pakistan army HQ,Bombing Outside Restaurant in Pakistan Wounds 15,3.0
1104,"Four civilians, three NATO soldiers killed in Afghanistan",Three NATO soldiers killed in Afghanistan,3.4
1106,"One killed, 40 injured in Mexico candy factory blast","Three killed, 21 injured in two road mishaps",0.8
1110,Protesters swamp streets to reclaim revolution,Egypt: Protesters storm Muslim Brotherhood's HQ,1.6
1111,Tokyo stocks open down 0.24%,Tokyo stocks open up 0.52%,2.8
1112,Australia returns asylum seekers to Sri Lanka in sea transfer,Australia: Australia hands asylum-seekers back to Sri Lanka,4.6
1114,Shankill blast victims to be remembered,Crocodile victim's body recovered,0.2
1117,118 people killed in twin blasts in Nigeria,Ten killed in new blast in Russia,1.4
1120,Glee star Cory Monteith found dead in hotel room in Canada,'Glee' star Cory Monteith found dead,4.4
1123,Croatia begins countdown to historic EU entry,Croatia countdowns to joining EU,4.8
1124,"Yolanda death toll climbs to 3,621",Kenya Red Cross says death toll rises to 68,0.4
1125,Tokyo stocks close up 0.13pc,Tokyo stocks close 0.75pc down,1.8
1130,Iran says ready for fresh round of nuclear talks,Iran's Khamenei renews support for nuclear talks,3.6
1131,Clashes continue between police and protesters in Turkey,"Turkish police fight protesters, clear square",4.4
1132,Those refused medical cards urged to contact HSE,HSE boss defends medical-card plan,1.2
1133,World‚Äôs largest building opened in west China,Italy‚Äôs centre-left splinters in presidential vote,0.0
1135,"Hassoun to Mauritanian delegation: conspiracy imposed on Syria targets its stances, particularly over Palestine","Mufti : conspiracy aginst Syria targets its stances, particularly towards Palestine",3.2
1137,Israeli lightly hurt by stones in West Bank,Israeli troops kill Palestinian in West Bank raid,1.2
1138,Death toll from Egypt protests rises to 49,Death toll from Egypt violence rises to 638,3.2
1139,Hong Kong set for democracy march,Hong Kong set for huge democracy rally,4.8
1140,Senate confirms Janet Yellen as chair of US Federal Reserve,US Senate Confirms Janet Yellen as New Central Bank Chief,4.2
1142,Syrian opposition agree to landmark peace talks,Syria opposition pressed to attend talks,3.0
1143,Suicide attack kills eight in Baghdad,Suicide attacks kill 24 people in Baghdad,2.4
1145,Poverty stats doubt Modi's development claims,GM to start taking recall compensation claims Aug 1,0.0
1146,Pro-Russia rebels to hold vote in Ukraine,Syria rebels: We killed Hezbollah men in Lebanon,0.0
1147,Georgians vote for new president,Ally of Georgia's billionaire PM to be president -exit polls,2.6
1149,"MERS respiratory illness found in U.S., officials confirm","First case of MERS, a SARS-like respiratory illness, reported in North America",4.2
1150,On War Criminals and Heroes: The Whitewashing of Ariel Sharon ŔÄ,On war criminals and heroes: The whitewashing of Ariel Sharon,5.0
1151,Obama to meet with China‚Äôs Xi in California June 7-8,Obama to meet Ukrainian prime minister at White House,2.2
1152,EU declares Hezbollah's military wing terror group,EU puts Hezbollah military wing on terror list,4.8
1153,"Rogers, Videotron extend reach with network-sharing deal","Rogers, Videotron reach network-sharing, spectrum deal",4.8
1155,Protests for kidnapped girls banned in Nigerian capital,Scores 'killed' in Boko Haram raid in Nigeria,1.0
1156,Germany welcomes Iran nuclear agreement,Syria welcomes Iran's nuclear deal,1.8
1157,Prominent AIDS researchers killed in Malaysian plane crash,Top AIDS Researcher Killed in Malaysia Plane Crash,5.0
1158,"What the Papers Say, June 25, 2013","What the Papers Say, Aug. 19, 2013",2.2
1160,Gunmen kill nine foreigners in Pakistan,Gunmen kill nine tourists in Pakistan,4.8
1163,2 Indian traders stranded in China sent back home,46 Indian nurses stranded in Iraq return home,1.8
1166,California governor declares drought emergency,California governor declares drought emergency as wildfires continue to burn,3.6
1167,Peace talks with Palestinians would take months: Israel official,3yo Palestinian girl killed in Israeli raid,0.4
1168,17:02 23 killed in Iraq car bombings,11 children killed in Syria bombings,0.6
1169,China yuan weakens to 6.1559 against USD,China yuan weakens to 6.1818 against USD Tuesday,3.6
1170,"Two dead, more trapped in latest Mumbai building collapse",Two are trapped as US building collapses,1.2
1171,Air strikes kills dozens in northern Syria,Ukraine will not give 'an inch' over Crimea,0.0
1172,Israelis and Palestinians aim to negotiate a 'final' peace deal after positive talks,Israeli army kills 3 Palestinian militants in West Bank clashes,1.6
1174,Chinese tourist abducted from Malaysia,China returns 10 children abducted from Vietnam,1.4
1176,Japanese politician apologizes for sex comment,"Japan mayor apologizes to U.S., denies wrong words on ""comfort women""",3.0
1177,"4 killed, 6 injured in attacks in Iraq","43 killed, 86 wounded in attacks in Iraq",2.4
1178,UN inspectors hail progress over Syria chemical weapons,U.S. has not concluded Syria used chemical weapons -White House,2.2
1182,Two arrests made after protest against Nigel Farage,Kerry vows progress after latest intensive Mideast trip,0.0
1184,Gunmen kill 15 Libyan soldiers,Gunmen kill 3 Lebanese troops near Syria,2.4
1185,Pictures show completed Costa Concordia operation,Timelapse of Costa Concordia operation,4.4
1186,Iran Nuclear Talks Enter Third Day,Iran nuclear talks enter crucial third day,5.0
1190,Protesters gather in Brazil despite concessions,Protests sweep Brazil despite concession,5.0
1195,Australian PM Kevin Rudd calls election for 7 September,Australian PM Rudd calls Sept. 7 poll,4.6
1198,Iran nuclear talks expected to resume this week,UK: Iran nuclear talks at a serious point,3.0
1202,Bangkok tense on Thai election eve,Bangladesh: Crackdown Escalates Ahead of Election,2.2
1205,Israel Forces Kill 2 Palestinian Militants,Israeli army kills Palestinian militant in raid,3.2
1206,China ‚Äėwill protect interests‚Äô of foreign business,Obama in ‚Äėdirect‚Äô confrontation with Putin on Ukraine,0.0
1207,Death toll 'rises to 17' after typhoon strikes Japan,Death Toll Rises to 84 in Pakistan Floods,1.2
1210,D.C. Votes to Decriminalize Marijuana,DC votes to decriminalize pot,5.0
1211,Many dead as asylum boat sinks off Australia,Mandela spends third day in hospital,0.0
1214,North Korea's Kim hails execution of powerful uncle,North Korean intrigue: The execution of power,2.6
1216,Margaret Thatcher dies after stroke,Margaret Thatcher dies at 87,4.2
1217,"Chinese president arrives in Netherlands for state visit, nuclear summit",Chinese president arrives in Venezuela for state visit,2.4
1219,Israel sanctions Palestinians in new blow to peace talks,Israel to release Palestinian prisoners as part of deal to revive peace talks,2.4
